"song_name","artist_id","artist_name","play_count","song_id","user_id"
"Ready For The Floor (Album Version)","ARWA8AH1187FB3FC84","Hot Chip",5,"SORKFPY12A8AE46AFB","CAGCRYV1333295C254"
"Get Your Roll On","AR0Y9WH1187B9ACB04","Big Tymers",1,"SONXEFJ12A6D4F9311","CAGCRYV1333295C254"
"Limbo","ARWV4ZQ1187FB4A44F","Throwing Muses",5,"SOHISZA12A8C139ACF","CAGCRYV1333295C254"
"Le Soleil Est Près De Moi","ARZZ5ZR1187FB4D149","Air",3,"SOLUGMY12AB017F74C","CAGCRYV1333295C254"
"J'ai Dormi Sous L'eau","ARZZ5ZR1187FB4D149","Air",5,"SOBPUVE12B0B808A06","CAGCRYV1333295C254"
"A Little Lie","ARB5GX51187B98A737","Dave Gahan",2,"SOUHGKF12A8AE4682A","CAGCRYV1333295C254"
"Jane Says ( LP Version )","ARQOATR1187B9AE959","Jane's Addiction",2,"SOCQNII12A6D4FD0EF","CAGCRYV1333295C254"
"Stop (2006 Remastered Album Version)","ARQOATR1187B9AE959","Jane's Addiction",2,"SODYMSQ12A58A790AD","CAGCRYV1333295C254"
"NYC","ARNBMT71187B993523","Interpol",1,"SOXCDAP12A8C1371AF","CAGCRYV1333295C254"
"F**k The Pain Away","ARZ0H4K1187FB54B0B","Peaches",1,"SOINKKL12A6D22824F","CAGCRYV1333295C254"
"Aa Xxx","ARZ0H4K1187FB54B0B","Peaches",1,"SOWYVKL12A8C13F6AD","CAGCRYV1333295C254"
"Rock Show","ARZ0H4K1187FB54B0B","Peaches",2,"SOVCEGB12A6D228251","CAGCRYV1333295C254"
"Set It Off","ARZ0H4K1187FB54B0B","Peaches",23,"SOLBRDH12A6D228252","CAGCRYV1333295C254"
"Hot Rod","ARZ0H4K1187FB54B0B","Peaches",1,"SONMMQS12A6D228255","CAGCRYV1333295C254"
"Lovertits","ARZ0H4K1187FB54B0B","Peaches",5,"SOERVBF12A6D228256","CAGCRYV1333295C254"
"Down With The Sickness (Album Version)","ARLNLD51187B98DEC5","Disturbed",NA,"SOPGREN12A6701EA2E","CAAQVEW13332A8CD22"
"The Whole World","AR3MSAN1187B98F06B","OutKast",13,"SOONJMQ12A8C137E6D","CAAQVEW13332A8CD22"
"Dirt Off Your Shoulder","ARLGIX31187B9AE9A0","Jay-Z",NA,"SOGQQST12A6701D95C","CAAQVEW13332A8CD22"
"Disposable Teens","ARC4K2E1187B9B6FDA","Marilyn Manson",NA,"SOHXBBH12A6D4FAEFF","CAAQVEW13332A8CD22"
"P.I.M.P.","AR23C041187FB4D534","50 Cent",NA,"SOXZTLV12A6701FFDD","CAAQVEW13332A8CD22"
"Industrial Revolution","ARHKLFI1187B9ADBC2","Immortal Technique",11,"SOFEKBM12A6D4FCFC3","CAAQVEW13332A8CD22"
"Human","ARVG4OK1187B9B6BD3","The Killers",NA,"SOPEOGA12AB017B694","CAAQVEW13332A8CD22"
"Thnks fr th Mmrs","ARSG7NQ1187FB57482","Fall Out Boy",NA,"SORJGAC12A67ADA69B","CAAQVEW13332A8CD22"
